event_id,event_date,status,home,away,venue,location
401847153,2026-02-13T05:00Z,Scheduled,Auburn,Youngstown St,Plainsman Park,"Auburn, Alabama"
401852986,2026-02-13T05:00Z,Scheduled,FIU,Villanova,FIU Baseball Stadium,"Miami, Florida"
401852735,2026-02-13T05:00Z,Scheduled,USC,Pepperdine,Great Park,"Irvine, California"
401852240,2026-02-13T05:00Z,Scheduled,Saint Mary's,Creighton,Louis Guisto Field,"Moraga, California"
401850139,2026-02-13T05:00Z,Scheduled,South Florida,Illinois,USF Baseball Stadium,"Tampa, Florida"
401848608,2026-02-13T05:00Z,Scheduled,Jax State,Cincinnati,Rudy Abbott Field at Jim Case Stadium,"Jacksonville, Alabama"
401848577,2026-02-13T05:00Z,Scheduled,Virginia Tech,William & Mary,English Field at Atlantic Union Bank Park,"Blacksburg, Virginia"
401847692,2026-02-13T05:00Z,Scheduled,Boston College,Seton Hall,Estadio Paquito Montaner,Ponce
401847426,2026-02-13T05:00Z,Scheduled,Mount St Marys,Missouri,E.T. Straw Family Stadium,"Emmitsburg, Maryland"
401848667,2026-02-13T14:30Z,Scheduled,Wake Forest,Houston,Estadio Paquito Montaner,Ponce
401853202,2026-02-13T15:00Z,Scheduled,Evansville,Marshall,Mickey Dunn Stadium,"Kennesaw, Georgia"
401852870,2026-02-13T17:00Z,Scheduled,Ball State,St John's,Ball Diamond at First Merchants Ballpark Complex,"Muncie, Indiana"
401847471,2026-02-13T17:00Z,Scheduled,Texas Tech,Oklahoma,Globe Life Field,"Arlington, Texas"
401848291,2026-02-13T18:00Z,Scheduled,Pitt,W Michigan,Centennial Park,"Port Charlotte, Florida"
401854131,2026-02-13T19:00Z,Scheduled,UL Monroe,C Arkansas,Lou St. Amant Field,"Monroe, Louisiana"
401848061,2026-02-13T19:30Z,Scheduled,Washington,NC State,Estadio Paquito Montaner,Ponce
401847336,2026-02-13T20:00Z,Scheduled,LSU,Milwaukee,"Alex Box Stadium, Skip Bertman Field","Baton Rouge, Louisiana"
401847985,2026-02-13T20:00Z,Scheduled,Louisville,Michigan St,Jim Patterson Stadium,"Louisville, Kentucky"
401847249,2026-02-13T20:00Z,Scheduled,Georgia,Wright St,Foley Field,"Athens, Georgia"
401853576,2026-02-13T20:00Z,Scheduled,NC A&T,N Illinois,World War Memorial Stadium,"Greensboro, North Carolina"
401853272,2026-02-13T20:00Z,Scheduled,Old Dominion,Quinnipiac,Bud Metheny Baseball Stadium,"Norfolk, Virginia"
401853168,2026-02-13T20:00Z,Scheduled,Louisiana,Missouri St,"M.L. ""Tigue"" Moore Field at Russo Park","Lafayette, Louisiana"
401852820,2026-02-13T20:00Z,Scheduled,App State,Canisius,Beaver Field at Jim and Bettie Smith Stadium,"Boone, North Carolina"
401852691,2026-02-13T20:00Z,Scheduled,Winthrop,Georgetown,The Winthrop Ballpark,"Rock Hill, South Carolina"
401852070,2026-02-13T20:00Z,Scheduled,Saint Louis,Ohio State,Blue Wahoos Stadium,"Pensacola, Florida"
401852024,2026-02-13T20:00Z,Scheduled,UT Martin,Butler,Skyhawk Baseball Field,"Martin, Tennessee"
401849931,2026-02-13T20:00Z,Scheduled,Iowa,Kansas St,Goodyear Ballpark,"Goodyear, Arizona"
401848541,2026-02-13T20:00Z,Scheduled,Western KY,BYU,Nick Denes Field,"Bowling Green, Kentucky"
401848457,2026-02-13T20:00Z,Scheduled,Virginia,Wagner,Davenport Field at Disharoon Park,"Charlottesville, Virginia"
401847948,2026-02-13T21:00Z,Scheduled,Georgia Tech,Bowling Green,Mac Nease Baseball Park,"Atlanta, Georgia"
401853015,2026-02-13T21:00Z,Scheduled,Coastal,Fairfield,Springs Brooks Stadium,"Conway, South Carolina"
401847666,2026-02-13T21:00Z,Scheduled,TCU,Vanderbilt,Globe Life Field,"Arlington, Texas"
401848133,2026-02-13T21:00Z,Scheduled,North Carolina,Indiana,Bryson Field at Boshamer Stadium,"Chapel Hill, North Carolina"
401849881,2026-02-13T21:00Z,Scheduled,Oregon St,Michigan,Surprise Stadium,"Surprise, Arizona"
401847295,2026-02-13T21:00Z,Scheduled,UNC Greensboro,Kentucky,UNCG Baseball Stadium,"Greensboro, North Carolina"
401847801,2026-02-13T21:00Z,Scheduled,Clemson,Army,Doug Kingsmore Stadium,"Clemson, South Carolina"
401854266,2026-02-13T21:00Z,Scheduled,North Alabama,SIUE,Mike D. Lane Field,"Florence, Alabama"
401854235,2026-02-13T21:00Z,Scheduled,Queens,Navy,The Stick Williams Dream Fields,"Charlotte, North Carolina"
401854234,2026-02-13T21:00Z,Scheduled,Lipscomb,Dayton,Ken Dugan Field at Stephen Lee Marsh Stadium,"Nashville, Tennessee"
401853795,2026-02-13T21:00Z,Scheduled,The Citadel,Liberty,"Joseph P. Riley, Jr. Park","Charleston, South Carolina"
401853724,2026-02-13T21:00Z,Scheduled,MTSU,Bellarmine,Reese Smith Jr. Field,"Murfreesboro, Tennessee"
401853095,2026-02-13T21:00Z,Scheduled,Georgia St,New Orleans,GSU Baseball Complex,"Decatur, Georgia"
401852901,2026-02-13T21:00Z,Scheduled,Arkansas St,Stony Brook,Tomlinson Stadium–Kell Field,"Jonesboro, Arkansas"
401852636,2026-02-13T21:00Z,Scheduled,Charleston,Rutgers,The Ballpark at Patriots Point,"Mount Pleasant, South Carolina"
401851684,2026-02-13T21:00Z,Scheduled,East Carolina,Xavier,Lewis Field at Clark-LeClair Stadium,"Greenville, North Carolina"
401850995,2026-02-13T21:00Z,Scheduled,Charlotte,San Diego,Robert and Mariam Hayes Stadium,"Charlotte, North Carolina"
401847851,2026-02-13T21:00Z,Scheduled,Duke,Maine,Jack Coombs Field,"Durham, North Carolina"
401847541,2026-02-13T21:00Z,Scheduled,South Carolina,N Kentucky,Founders Park,"Columbia, South Carolina"
401853348,2026-02-13T21:05Z,Scheduled,Wichita St,N Colorado,Eck Stadium Home of Tyler Field,"Wichita, Kansas"
401847576,2026-02-13T21:30Z,Scheduled,Tennessee,Nicholls,Lindsey Nelson Stadium,"Knoxville, Tennessee"
401854236,2026-02-13T21:30Z,Scheduled,West Georgia,C Michigan,Cole Field,"Carrollton, Georgia"
401847383,2026-02-13T22:00Z,Scheduled,Mississippi St,Hofstra,Dudy Noble Field,"Starkville, Mississippi"
401847903,2026-02-13T22:00Z,Scheduled,Florida St,James Madison,Mike Martin Field at Dick Howser Stadium,"Tallahassee, Florida"
401853389,2026-02-13T22:00Z,Scheduled,Southern Miss,Santa Barbara,Pete Taylor Park/Hill Denson Field,"Hattiesburg, Mississippi"
401853763,2026-02-13T22:00Z,Scheduled,Louisiana Tech,Hou Christian,J.C. Love Field at Pat Patterson Park,"Ruston, Louisiana"
401853432,2026-02-13T22:00Z,Scheduled,Campbell,Cal Poly,Jim Perry Stadium,"Buies Creek, North Carolina"
401853318,2026-02-13T22:00Z,Scheduled,UTSA,S Dakota St,Roadrunner Field,"San Antonio, Texas"
401852321,2026-02-13T22:00Z,Scheduled,Purdue,Portland,Constellation Field,"Sugar Land, Texas"
401848488,2026-02-13T22:00Z,Scheduled,Baylor,New Mexico St,Magnolia Field at Baylor Ballpark,"Waco, Texas"
401847507,2026-02-13T22:00Z,Scheduled,Ole Miss,Nevada,Oxford-University Stadium at Swayze Field,"Oxford, Mississippi"
401847022,2026-02-13T22:00Z,Scheduled,Alabama,Washington St,Sewell-Thomas Stadium,"Tuscaloosa, Alabama"
401851888,2026-02-13T22:05Z,Scheduled,Memphis,Toledo,FedExPark Avron Fogelman Field,"Memphis, Tennessee"
401854237,2026-02-13T23:00Z,Scheduled,Jacksonville,Rhode Island,John Sessions Stadium,"Jacksonville, Florida"
401853561,2026-02-13T23:00Z,Scheduled,Mercer,Troy,OrthoGeorgia Park at Claude Smith Field,"Macon, Georgia"
401850969,2026-02-13T23:00Z,Scheduled,UNC Wilmington,Maryland,Brooks Field,"Wilmington, North Carolina"
401850066,2026-02-13T23:00Z,Scheduled,UCF,Siena,John Euliano Park,"Orlando, Florida"
401854298,2026-02-13T23:05Z,Scheduled,North Florida,Sacred Heart,Dusty Rhodes Field at Harmon Stadium,"Jacksonville, Florida"
401852110,2026-02-13T23:05Z,Scheduled,Oregon,George Mason,PK Park,"Eugene, Oregon"
401847201,2026-02-13T23:30Z,Scheduled,Florida,UAB,Condron Family Ballpark,"Gainesville, Florida"
401854299,2026-02-13T23:30Z,Scheduled,FGCU,N Dakota St,Swanson Stadium,"Fort Myers, Florida"
401851117,2026-02-13T23:30Z,Scheduled,Stetson,Minnesota,Melching Field at Conrad Park,"DeLand, Florida"
401849969,2026-02-13T23:30Z,Scheduled,GA Southern,West Virginia,J. I. Clements Stadium,"Statesboro, Georgia"
401848101,2026-02-13T23:30Z,Scheduled,FAU,Notre Dame,FAU Baseball Stadium,"Boca Raton, Florida"
401848027,2026-02-14T00:00Z,Scheduled,Miami,Lehigh,Alex Rodriguez Park at Mark Light Field,"Coral Gables, Florida"
401847639,2026-02-14T00:00Z,Scheduled,Texas A&M,Tennessee Tech,Olsen Field at Blue Bell Park,"College Station, Texas"
401854215,2026-02-14T00:00Z,Scheduled,Alabama St,E Kentucky,Wheeler–Watkins Baseball Complex,"Montgomery, Alabama"
401853578,2026-02-14T00:00Z,Scheduled,McNeese,Sam Houston,Joe Miller Ballpark,"Lake Charles, Louisiana"
401853537,2026-02-14T00:00Z,Scheduled,Texas St,Niagara,Bobcat Ballpark (TX),"San Marcos, Texas"
401847609,2026-02-14T00:30Z,Scheduled,Texas,UC Davis,UFCU Disch-Falk Field,"Austin, Texas"
401853316,2026-02-14T00:30Z,Scheduled,South Alabama,SC Upstate,Stanky Field,"Mobile, Alabama"
401848705,2026-02-14T00:30Z,Scheduled,UT Rio Grande,Kansas,UTRGV Baseball Stadium,"Edinburg, Texas"
401851991,2026-02-14T00:35Z,Scheduled,Rice,Northwestern,Reckling Park,"Houston, Texas"
401852666,2026-02-14T01:00Z,Scheduled,UCLA,UC San Diego,Jackie Robinson Stadium,"Los Angeles, California"
401847097,2026-02-14T01:00Z,Scheduled,Arkansas,Oklahoma St,Globe Life Field,"Arlington, Texas"
401848328,2026-02-14T01:00Z,Scheduled,Stanford,Arizona,Surprise Stadium,"Surprise, Arizona"
401852146,2026-02-14T01:00Z,Scheduled,Penn State,Air Force,Salt River Fields at Talking Stick,"Scottsdale, Arizona"
401851960,2026-02-14T01:00Z,Scheduled,Nebraska,UConn,Salt River Fields at Talking Stick,"Scottsdale, Arizona"
401848406,2026-02-14T01:35Z,Scheduled,Arizona St,Omaha,Phoenix Municipal Stadium,"Phoenix, Arizona"
401851940,2026-02-14T02:00Z,Scheduled,LMU,Tulane,Page Stadium,"Los Angeles, California"
401850001,2026-02-14T02:00Z,Scheduled,Fresno St,Utah,Pete Beiden Field at Bob Bennett Stadium,"Fresno, California"
401853829,2026-02-14T02:05Z,Scheduled,UNLV,Austin Peay,Earl E. Wilson Stadium,"Paradise Valley, Nevada"
401847748,2026-02-14T02:05Z,Scheduled,California,Santa Clara,Stu Gordon Stadium,"Berkeley, California"
401847154,2026-02-14T05:00Z,Scheduled,Auburn,Youngstown St,Plainsman Park,"Auburn, Alabama"
401854521,2026-02-14T05:00Z,Scheduled,Jacksonville,Rhode Island,John Sessions Stadium,"Jacksonville, Florida"
401852987,2026-02-14T05:00Z,Scheduled,FIU,Villanova,FIU Baseball Stadium,"Miami, Florida"
401852763,2026-02-14T05:00Z,Scheduled,Manhattan,Seton Hall,Estadio Paquito Montaner,Ponce
401852736,2026-02-14T05:00Z,Scheduled,USC,Pepperdine,Great Park,"Irvine, California"
401852242,2026-02-14T05:00Z,Scheduled,Saint Mary's,Creighton,Louis Guisto Field,"Moraga, California"
401850140,2026-02-14T05:00Z,Scheduled,South Florida,Illinois,USF Baseball Stadium,"Tampa, Florida"
401848609,2026-02-14T05:00Z,Scheduled,Jax State,Cincinnati,Rudy Abbott Field at Jim Case Stadium,"Jacksonville, Alabama"
401848581,2026-02-14T05:00Z,Scheduled,Virginia Tech,William & Mary,English Field at Atlantic Union Bank Park,"Blacksburg, Virginia"
401847853,2026-02-14T05:00Z,Scheduled,Duke,Maine,Jack Coombs Field,"Durham, North Carolina"
401847693,2026-02-14T05:00Z,Scheduled,Boston College,Houston,Estadio Paquito Montaner,Ponce
